Date,Country,Confirmed,Recovered,Deaths
2020/1/22,Afghanistan,0,0,0
2020/1/22,Albania,0,0,0
2020/1/22,Algeria,0,0,0
2020/1/22,Andorra,0,0,0
2020/1/22,Angola,0,0,0
2020/1/22,Antigua and Barbuda,0,0,0
2020/1/22,Argentina,0,0,0
2020/1/22,Armenia,0,0,0
2020/1/22,Australia,0,0,0
2020/1/22,Austria,0,0,0
2020/1/22,Azerbaijan,0,0,0
2020/1/22,Bahamas,0,0,0
2020/1/22,Bahrain,0,0,0
2020/1/22,Bangladesh,0,0,0
2020/1/22,Barbados,0,0,0
2020/1/22,Belarus,0,0,0
2020/1/22,Belgium,0,0,0
2020/1/22,Belize,0,0,0
2020/1/22,Benin,0,0,0
2020/1/22,Bhutan,0,0,0
2020/1/22,Bolivia,0,0,0
2020/1/22,Bosnia and Herzegovina,0,0,0
2020/1/22,Botswana,0,0,0
2020/1/22,Brazil,0,0,0
2020/1/22,Brunei,0,0,0
2020/1/22,Bulgaria,0,0,0
2020/1/22,Burkina Faso,0,0,0
2020/1/22,Burma,0,0,0
2020/1/22,Burundi,0,0,0
2020/1/22,Cabo Verde,0,0,0
2020/1/22,Cambodia,0,0,0
2020/1/22,Cameroon,0,0,0
2020/1/22,Canada,0,0,0
2020/1/22,Central African Republic,0,0,0
2020/1/22,Chad,0,0,0
2020/1/22,Chile,0,0,0
2020/1/22,China,548,28,17
2020/1/22,Colombia,0,0,0
2020/1/22,Comoros,0,0,0
2020/1/22,Congo (Brazzaville),0,0,0
2020/1/22,Congo (Kinshasa),0,0,0
2020/1/22,Costa Rica,0,0,0
2020/1/22,Cote d'Ivoire,0,0,0
2020/1/22,Croatia,0,0,0
2020/1/22,Cuba,0,0,0
2020/1/22,Cyprus,0,0,0
2020/1/22,Czechia,0,0,0
2020/1/22,Denmark,0,0,0
2020/1/22,Diamond Princess,0,0,0
2020/1/22,Djibouti,0,0,0
2020/1/22,Dominica,0,0,0
2020/1/22,Dominican Republic,0,0,0
2020/1/22,Ecuador,0,0,0
2020/1/22,Egypt,0,0,0
2020/1/22,El Salvador,0,0,0
2020/1/22,Equatorial Guinea,0,0,0
2020/1/22,Eritrea,0,0,0
2020/1/22,Estonia,0,0,0
2020/1/22,Eswatini,0,0,0
2020/1/22,Ethiopia,0,0,0
2020/1/22,Fiji,0,0,0
2020/1/22,Finland,0,0,0
2020/1/22,France,0,0,0
2020/1/22,Gabon,0,0,0
2020/1/22,Gambia,0,0,0
2020/1/22,Georgia,0,0,0
2020/1/22,Germany,0,0,0
